,0
0,-0.7975308
1,-7.2514944
2,-2.1223521
3,-0.75277674
4,-7.1185164
5,-2.2060466
6,-0.45511395
7,-6.966027
8,-4.4877954
9,-0.45999494
10,-6.9938307
11,-0.6381461
12,-0.8240538
13,-6.518558
14,-3.0712168
15,-0.8313751
16,-6.3598366
17,-1.7167902
18,-0.13172531
19,-5.316434
20,-7.0844607
21,0.07104481
22,-4.8937736
23,1.7997612
24,-1.4785378
25,-3.1357536
26,-9.202084
27,-0.13500704
28,-2.2784545
29,3.5334904
30,-3.0585752
31,-2.59179
32,-9.229642
33,-1.1646014
34,-0.79848856
35,1.9993604
36,-3.585671
37,-2.1838787
38,-10.086404
39,-1.47333
40,-0.554519
41,1.7898788
42,-3.6540298
43,-2.3053071
44,-9.639827
45,-1.4670042
46,-0.38611543
47,0.67818177
48,-3.3923986
49,-2.537403
50,-9.277078
51,-1.4124341
52,-0.81716806
53,0.8712976
54,0.657067
55,-0.08469487
56,-5.524611
57,0.47354588
58,0.10861548
59,-0.96786886
60,0.20451461
61,4.3243833
62,-5.98013
63,0.08779476
64,4.4323964
65,-0.749227
66,0.38838628
67,8.803436
68,-3.3476708
69,0.40356472
70,8.467475
71,1.5088419
72,0.6110609
73,9.329241
74,-3.291527
75,0.5800499
76,9.064621
77,1.3059013
78,-0.6282629
79,9.872171
80,-4.6867285
81,-0.61225307
82,9.7713785
83,0.7677582
84,-1.3136841
85,-6.5194764
86,-2.9035575
87,-1.1459576
88,-7.1422133
89,-3.1828601
90,-1.1812412
91,-7.201207
92,-3.2373173
93,-1.1052947
94,-7.2363157
95,-3.1313057
96,-1.1825788
97,-7.0906606
98,-2.5945878
99,-1.054649
100,-7.2614365
101,-2.464958
102,-1.0169302
103,-7.2017603
104,-2.624153
105,-0.70734626
106,-6.7447686
107,-4.5643477
108,-0.65224886
109,-7.1346903
110,-1.0233415
111,-0.96784276
112,-6.161573
113,-3.2722652
114,-0.9127885
115,-5.8932405
116,-2.141478
117,-0.32411715
118,-5.224711
119,-7.28982
120,0.13920629
121,-4.952355
122,1.3360342
123,-0.9703248
124,-1.9226272
125,-8.134045
126,-0.09599903
127,-1.7708185
128,2.1006804
129,-1.9715468
130,0.87429374
131,-6.354365
132,-0.73057365
133,0.45848942
134,0.8001332
135,-2.0524855
136,1.595394
137,-7.1487308
138,-0.8396057
139,0.70271957
140,0.68962276
141,-2.0592954
142,1.5016867
143,-6.877911
144,-1.0038399
145,0.7004261
146,0.29181004
147,-1.9591
148,1.2223835
149,-6.40738
150,-0.7878372
151,0.53124076
152,0.48298016
153,0.8411117
154,0.3517801
155,-5.1092634
156,0.5674768
157,0.3082324
158,-0.19899485
159,0.21475798
160,4.3718867
161,-4.9503393
162,0.061858308
163,4.6982493
164,0.09396707
165,0.40664157
166,9.444038
167,-2.2244298
168,0.29753432
169,9.209437
170,2.4117332
171,0.53519166
172,9.654594
173,-2.1721148
174,0.5513111
175,10.217326
176,2.3141828
177,-0.33018434
178,10.958902
179,-3.5103626
180,-0.37857255
181,10.21721
182,1.2749999
183,-1.3790209
184,-5.2115483
185,-3.870826
186,-1.2455304
187,-5.6286726
188,-3.9441972
189,-1.1918136
190,-5.5098977
191,-4.2180963
192,-1.149843
193,-5.7383327
194,-3.962114
195,-1.3414263
196,-5.8514357
197,-3.423264
198,-1.3939847
199,-5.6041923
200,-3.1026664
201,-1.2898142
202,-5.9290795
203,-3.2807117
204,-1.0961273
205,-5.7783093
206,-5.320884
207,-0.98537904
208,-5.9402757
209,-1.661611
210,-1.4574221
211,-5.079783
212,-3.6816096
213,-1.3249326
214,-4.859018
215,-2.8756135
216,-0.6044041
217,-3.5882733
218,-7.188649
219,-0.20115341
220,-3.7003853
221,0.4045797
222,0.0118904635
223,-0.5599015
224,-7.8850713
225,0.39392146
226,-1.5157794
227,1.1294469
228,0.5762277
229,1.9931582
230,-7.152318
231,0.8378226
